time,open,high,low,close,volume
2022-03-07 20:00:00,158.42,159.3,158.4,158.75,143266
2022-03-07 19:00:00,158.35,158.72,158.02,158.36,87150
2022-03-07 18:00:00,158.57,158.64,158.25,158.35,127688
2022-03-07 17:00:00,159.31,159.52,158.49,158.58,4012100
2022-03-07 16:00:00,160.41,160.585,159.04,159.31,18530989
2022-03-07 15:00:00,161.155,161.68,160.19,160.4,8513918
2022-03-07 14:00:00,161.56,162.19,160.9,161.15,8654785
2022-03-07 13:00:00,163.06,163.08,161.3157,161.57,9788377
2022-03-07 12:00:00,162.37,164,162,163.0675,10662816
2022-03-07 11:00:00,162.65,162.94,161.38,162.37,12950016
2022-03-07 10:00:00,162.74,165.02,162.58,162.65,12043622
2022-03-07 9:00:00,162.01,162.9,161.05,162.7024,505672
2022-03-07 8:00:00,160.85,162.3,160.67,161.86,230930
2022-03-07 7:00:00,160,160.8,159.6,160.74,44883
2022-03-07 6:00:00,160.09,160.45,159.88,160,49665
2022-03-07 5:00:00,161.78,161.78,159.71,160.09,139777
2022-03-04 20:00:00,163.05,163.05,162.91,162.97,48590
2022-03-04 19:00:00,163.05,163.16,163,163.05,31317
2022-03-04 18:00:00,162.99,163.2399,162.92,163.05,39969
2022-03-04 17:00:00,163.17,164.07,162.87,163.0622,1784051
2022-03-04 16:00:00,162.611,163.53,162.13,163.22,14536296
2022-03-04 15:00:00,163.12,163.73,162.52,162.62,7793135
2022-03-04 14:00:00,163.7,164.465,163.032,163.12,7716322
2022-03-04 13:00:00,162.76,163.95,162.49,163.6948,10030662
2022-03-04 12:00:00,162.59,163.16,162.1,162.76,9786805
2022-03-04 11:00:00,165.04,165.3101,162.22,162.5801,14224555
2022-03-04 10:00:00,164.9,165.55,163.88,165.0399,9658820
2022-03-04 9:00:00,164.5001,165.9,164.12,164.89,1020414
2022-03-04 8:00:00,164.61,164.88,164.08,164.72,179037
2022-03-04 7:00:00,164.56,164.94,164.31,164.8,23582
2022-03-04 6:00:00,164.3,165,164.3,164.71,16557
2022-03-04 5:00:00,163.72,165.24,163.72,164.4,48241
2022-03-03 20:00:00,166.39,166.42,162.09,162.95,298297
2022-03-03 19:00:00,166.1001,166.39,165.95,166.35,61372
2022-03-03 18:00:00,166.34,166.35,165.9,166.08,130898
2022-03-03 17:00:00,166.23,166.42,166.01,166.35,3192698
2022-03-03 16:00:00,166.68,166.74,165.55,166.2882,12544975
2022-03-03 15:00:00,167.36,167.91,166.58,166.685,6713332
2022-03-03 14:00:00,167.1,167.8,166.88,167.3693,6375350
2022-03-03 13:00:00,166.82,168.44,166.09,167.11,9018592
2022-03-03 12:00:00,166.02,167.02,165.73,166.83,9275758
2022-03-03 11:00:00,168.065,168.4,166.0101,166.03,11264210
2022-03-03 10:00:00,167.8599,168.91,167.5199,168.06,11235321
2022-03-03 9:00:00,166.77,167.96,166.144,167.86,1266393
2022-03-03 8:00:00,166.23,166.78,166.21,166.53,75862
2022-03-03 7:00:00,166.3,166.79,165.93,166.16,15956
2022-03-03 6:00:00,166.41,166.41,166.02,166.28,7635
2022-03-03 5:00:00,166.35,166.46,165.92,166.41,12362
2022-03-02 20:00:00,166.32,166.54,166.21,166.36,44886
2022-03-02 19:00:00,166.1,166.33,166.07,166.3,25904
2022-03-02 18:00:00,166.16,166.25,165.99,166.05,24344
2022-03-02 17:00:00,166.56,166.56,165.95,166.19,1518220
2022-03-02 16:00:00,166.75,167.36,166.4,166.54,12609372
2022-03-02 15:00:00,166.72,167.25,166.6,166.755,6662414
2022-03-02 14:00:00,166.2,167,166,166.7029,6186919
2022-03-02 13:00:00,165.88,166.725,165.71,166.1972,8414194
2022-03-02 12:00:00,164.61,166.47,164.17,165.89,13114781
2022-03-02 11:00:00,164.05,165.18,162.95,164.595,13428441
2022-03-02 10:00:00,163.66,164.69,163.05,164.0432,8451654
2022-03-02 9:00:00,164.5199,164.9,163.23,163.65,554700
2022-03-02 8:00:00,164.43,164.6,163.65,163.9,125677
2022-03-02 7:00:00,164.05,164.72,164.05,164.49,20028
2022-03-02 6:00:00,163.87,164.74,163.6,164.1,20206
2022-03-02 5:00:00,165,165,162.56,163.8,26822
2022-03-01 20:00:00,163.72,163.8,163.4,163.74,53745
2022-03-01 19:00:00,163.33,163.73,163.21,163.72,65697
2022-03-01 18:00:00,163.4,163.45,163.21,163.31,24987
2022-03-01 17:00:00,163.2,163.97,163.2,163.424,1307659
2022-03-01 16:00:00,162.725,163.89,161.97,163.18,15021612
2022-03-01 15:00:00,162.9981,163.51,162.57,162.72,7607975
2022-03-01 14:00:00,164.1,164.4,162.51,162.9925,7817790
2022-03-01 13:00:00,163.585,164.4,163.0213,164.11,7795921
2022-03-01 12:00:00,165.17,165.75,163.31,163.58,10422009
2022-03-01 11:00:00,165.75,166.6,164.945,165.16,13773156
2022-03-01 10:00:00,164.7,166.51,164.36,165.73,12189803
2022-03-01 9:00:00,163.95,165.532,163.58,164.7,665644
2022-03-01 8:00:00,163.58,164.32,163.57,163.95,142829
2022-03-01 7:00:00,163.85,164.05,163.2,163.52,13069
2022-03-01 6:00:00,163.78,164.1,163.28,164.1,18328
2022-03-01 5:00:00,164.74,165.01,163.76,163.76,22379
2022-02-28 20:00:00,165.26,165.3,164.75,164.8,57669
2022-02-28 19:00:00,164.76,165.37,164.73,165.31,93350
2022-02-28 18:00:00,165,165.18,164.74,164.76,36212
2022-02-28 17:00:00,165.12,165.2,164.6,164.95,4043222
2022-02-28 16:00:00,163.42,165.4,162.64,165.13,16882704
2022-02-28 15:00:00,164.26,164.26,162.43,163.43,8758340
2022-02-28 14:00:00,164.1,164.9488,163.77,164.26,6936566
2022-02-28 13:00:00,164.96,165.23,163.71,164.1052,8478746
2022-02-28 12:00:00,164.86,165.42,164.6,164.96,8834121
2022-02-28 11:00:00,164.74,165.14,163.19,164.84,12405795
2022-02-28 10:00:00,163.01,164.81,162.78,164.74,11083985
2022-02-28 9:00:00,162.9,163.8,161.1,163.03,1231615
2022-02-28 8:00:00,162.7,163.8,162.52,162.98,266164
2022-02-28 7:00:00,162.6,162.86,162.3,162.7,43017
2022-02-28 6:00:00,162.41,162.68,161.99,162.59,11058
2022-02-28 5:00:00,163.18,163.28,161.36,162.42,86268
2022-02-25 20:00:00,164.4,164.45,164.15,164.34,57269
2022-02-25 19:00:00,164.55,164.6,164.33,164.4,51221
2022-02-25 18:00:00,164.89,164.89,164.42,164.55,136251
2022-02-25 17:00:00,164.85,165,164.7,164.88,2220050
2022-02-25 16:00:00,164.43,165.12,163.98,164.87,16884901
2022-02-25 15:00:00,164.555,165.01,164.02,164.425,8539158
2022-02-25 14:00:00,164.075,165.01,163.48,164.55,9565798
2022-02-25 13:00:00,164.58,164.84,163.85,164.075,8981855
2022-02-25 12:00:00,163.15,164.65,162.82,164.5725,12268388
2022-02-25 11:00:00,161.24,163.54,160.8738,163.155,14786224
2022-02-25 10:00:00,164.04,164.35,161.12,161.26,11980414
2022-02-25 9:00:00,162.41,164.74,161,164.13,984033
2022-02-25 8:00:00,162.1,163.8,162,163.49,173206
2022-02-25 7:00:00,162.01,162.71,161.33,162.2,54620
